=== TOKENS DETECTADOS ===
Línea 67: ; (Signo)
Línea 68: Console (Identificador)
Línea 68: WriteLine (Identificador)
Línea 68: ( (Signo)
Línea 68: { (Signo)
Línea 68: 1 (Número)
Línea 68: } (Signo)
Línea 68: { (Signo)
Línea 68: 0 (Número)
Línea 68: } (Signo)
Línea 68: { (Signo)
Línea 68: 3 (Número)
Línea 68: } (Signo)
Línea 68: { (Signo)
Línea 68: 1 (Número)
Línea 68: } (Signo)
Línea 68: { (Signo)
Línea 68: 0 (Número)
Línea 68: } (Signo)
Línea 68: { (Signo)
Línea 68: 0 (Número)
Línea 68: } (Signo)
Línea 68: { (Signo)
Línea 68: 0 (Número)
Línea 68: } (Signo)
Línea 68: { (Signo)
Línea 68: 2 (Número)
Línea 68: } (Signo)
Línea 68: { (Signo)
Línea 68: 0 (Número)
Línea 68: } (Signo)
Línea 68: { (Signo)
Línea 68: 0 (Número)
Línea 68: } (Signo)
Línea 68: { (Signo)
Línea 68: 0 (Número)
Línea 68: } (Signo)
Línea 68: { (Signo)
Línea 68: 2 (Número)
Línea 68: } (Signo)
Línea 68: { (Signo)
Línea 68: 0 (Número)
Línea 68: } (Signo)
Línea 68: { (Signo)
Línea 68: 0 (Número)
Línea 68: } (Signo)
Línea 68: { (Signo)
Línea 68: 0 (Número)
Línea 68: } (Signo)
Línea 68: { (Signo)
Línea 68: 3 (Número)
Línea 68: } (Signo)
Línea 68: , (Signo)
Línea 68: u2550 (Identificador)
Línea 68: , (Signo)
Línea 68: u2554 (Identificador)
Línea 68: , (Signo)
Línea 68: u2566 (Identificador)
Línea 68: , (Signo)
Línea 68: u2557 (Identificador)
Línea 68: ) (Signo)
Línea 68: ; (Signo)
Línea 69: for (Identificador)
Línea 69: ( (Signo)
Línea 69: i (Identificador)
Línea 69: = (Operador)
Línea 69: 0 (Número)
Línea 69: ; (Signo)
Línea 69: i (Identificador)
Línea 69: < (Operador)
Línea 69: tictactoe (Identificador)
Línea 69: Length (Identificador)
Línea 69: ; (Signo)
Línea 69: i (Identificador)
Línea 69: + (Operador)
Línea 69: + (Operador)
Línea 69: ) (Signo)
Línea 70: { (Signo)
Línea 71: if (Identificador)
Línea 71: ( (Signo)
Línea 71: i (Identificador)
Línea 71: != (Operador)
Línea 71: 0 (Número)
Línea 71: ) (Signo)
Línea 72: Console (Identificador)
Línea 72: WriteLine (Identificador)
Línea 72: ( (Signo)
Línea 72: { (Signo)
Línea 72: 1 (Número)
Línea 72: } (Signo)
Línea 72: { (Signo)
Línea 72: 0 (Número)
Línea 72: } (Signo)
Línea 72: { (Signo)
Línea 72: 3 (Número)
Línea 72: } (Signo)
Línea 72: { (Signo)
Línea 72: 1 (Número)
Línea 72: } (Signo)
Línea 72: { (Signo)
Línea 72: 0 (Número)
Línea 72: } (Signo)
Línea 72: { (Signo)
Línea 72: 0 (Número)
Línea 72: } (Signo)
Línea 72: { (Signo)
Línea 72: 0 (Número)
Línea 72: } (Signo)
Línea 72: { (Signo)
Línea 72: 2 (Número)
Línea 72: } (Signo)
Línea 72: { (Signo)
Línea 72: 0 (Número)
Línea 72: } (Signo)
Línea 72: { (Signo)
Línea 72: 0 (Número)
Línea 72: } (Signo)
Línea 72: { (Signo)
Línea 72: 0 (Número)
